time,prediction,prediction_tau,idle,transmit
0,2,24,0,0
0,2,25,0,0
0,2,26,0,0
0,2,27,0,0
0,2,28,0,0
0,2,29,0,0
0,2,30,0,0
0,2,31,0,0
0,2,32,0,0
0,2,33,0,0
0,2,34,0,0
0,2,35,0,0
0,2,36,0,0
0,2,37,0,0
0,2,38,0,0
0,2,39,0,0
0,2,40,0,0
0,3,0,-0.0627115,-0.543434
0,3,1,-0.0607958,-0.579946
0,3,2,-0.0576448,-0.555355
0,3,3,-0.0554676,-0.538983
0,3,4,-0.0536195,-0.547369
0,3,5,-0.0509914,-0.568193
0,3,6,-0.0492463,-0.560492
0,3,7,-0.0463831,-0.563617
0,3,8,-0.0443633,-0.523316
0,3,9,-0.042055,-0.544344
0,3,10,-0.0393599,-0.560266
0,3,11,-0.0381163,-0.579802
0,3,12,-0.0351559,-0.55762
0,3,13,-0.0334568,-0.537331
0,3,14,-0.0302108,-0.526034
0,3,15,-0.0275269,-0.496816
0,3,16,-0.0192339,-0.417539
0,3,17,-0.00749581,-0.163608
0,3,18,-0.00738981,-0.183107
0,3,19,-0.00499608,-0.120476
0,3,20,-0.00443198,-0.126013
0,3,21,-0.0027303,-0.105652
0,3,22,-0.00131677,-0.0488067
0,3,23,0,0
0,3,24,-0.000821727,-0.0475856
0,3,25,0,0
0,3,26,0,0
0,3,27,0,0
0,3,28,0,0
0,3,29,0,0
0,3,30,0,0
0,3,31,0,0
0,3,32,0,0
0,3,33,0,0
0,3,34,0,0
0,3,35,0,0
0,3,36,0,0
0,3,37,0,0
0,3,38,0,0
0,3,39,0,0
0,3,40,0,0
0,4,0,-0.0617962,-0.526111
0,4,1,-0.0592518,-0.526463
0,4,2,-0.0580006,-0.564016
0,4,3,-0.0559953,-0.522225
0,4,4,-0.0534243,-0.567002
0,4,5,-0.0509468,-0.551953
0,4,6,-0.0489828,-0.515037
0,4,7,-0.0462344,-0.534373
0,4,8,-0.0445654,-0.500253
0,4,9,-0.0424165,-0.543571
0,4,10,-0.0401449,-0.539965
0,4,11,-0.037235,-0.548936
0,4,12,-0.034974,-0.541674
0,4,13,-0.032961,-0.501902
0,4,14,-0.0299837,-0.527366
0,4,15,-0.0288951,-0.551323
0,4,16,-0.0263426,-0.524874
0,4,17,-0.0237064,-0.50104
0,4,18,-0.019071,-0.442773
0,4,19,-0.0145444,-0.404715
0,4,20,-0.00989529,-0.330427
0,4,21,-0.00561571,-0.201969
0,4,22,-0.00126781,-0.0588596
0,4,23,-0.00042252,-0.0289903
0,4,24,0,0
0,4,25,-0.000479247,-0.0573981
0,4,26,0,0
0,4,27,0,0
0,4,28,1.85867e-05,-0.0407702
0,4,29,0,0
0,4,30,0,0
0,4,31,0,0
0,4,32,0,0
0,4,33,0,0
0,4,34,0,0
0,4,35,0,0
0,4,36,0,0
0,4,37,0,0
0,4,38,0,0
0,4,39,0,0
0,4,40,0,0
0,5,0,-0.0630007,-0.548359
0,5,1,-0.059862,-0.533181
0,5,2,-0.057934,-0.503466
0,5,3,-0.0559325,-0.519613
0,5,4,-0.0531881,-0.513591
0,5,5,-0.0512651,-0.529479
0,5,6,-0.0487412,-0.492836
0,5,7,-0.0466418,-0.505629
0,5,8,-0.0447536,-0.551424
0,5,9,-0.0426836,-0.520506
0,5,10,-0.0400953,-0.490497
0,5,11,-0.0381392,-0.521603
0,5,12,-0.0360068,-0.505018
0,5,13,-0.0335513,-0.514793
0,5,14,-0.031252,-0.518556
0,5,15,-0.029573,-0.521337
0,5,16,-0.027031,-0.516419
0,5,17,-0.0248462,-0.53504
0,5,18,-0.0231633,-0.55108
0,5,19,-0.0205869,-0.517769
0,5,20,-0.0174106,-0.514918
0,5,21,-0.0130257,-0.424629
0,5,22,-0.00728599,-0.299433
0,5,23,-0.00262714,-0.136459
0,5,24,-0.0029399,-0.149893
0,5,25,-0.000187187,-0.0272751
0,5,26,-0.000419067,-0.0589147
0,5,27,0,0
0,5,28,0,0
0,5,29,0,0
0,5,30,0,0
0,5,31,0,0
0,5,32,0,0
0,5,33,0,0
0,5,34,0,0
0,5,35,0,0
0,5,36,0,0
0,5,37,0,0
0,5,38,0,0
0,5,39,0,0
0,5,40,0,0
0,6,0,-0.0626172,-0.493306
0,6,1,-0.0595694,-0.497373
0,6,2,-0.0578839,-0.478832
0,6,3,-0.0552302,-0.493649
0,6,4,-0.0533207,-0.530568
0,6,5,-0.0511545,-0.529153
0,6,6,-0.0487972,-0.516109
0,6,7,-0.0469239,-0.483343
0,6,8,-0.0442136,-0.515315
0,6,9,-0.0421327,-0.517667
0,6,10,-0.0402177,-0.483265
0,6,11,-0.0378712,-0.518722
0,6,12,-0.0356023,-0.482409
0,6,13,-0.0336333,-0.491071
0,6,14,-0.0300047,-0.560043
0,6,15,-0.0284217,-0.468952
0,6,16,-0.0265427,-0.509517
0,6,17,-0.0248484,-0.527642
0,6,18,-0.022472,-0.500561
0,6,19,-0.0192236,-0.495019
0,6,20,-0.0165709,-0.494257
0,6,21,-0.00730425,-0.225638
0,6,22,-0.00514834,-0.197502
0,6,23,-0.00546419,-0.270587
0,6,24,0,0
0,6,25,-0.00115576,-0.121551
0,6,26,0,0
0,6,27,0,0
0,6,28,0,0
0,6,29,0,0
0,6,30,0,0
0,6,31,0,0
0,6,32,0.000727413,-0.0324839
0,6,33,0,0
0,6,34,0,0
0,6,35,0,0
0,6,36,0,0
0,6,37,0,0
0,6,38,0,0
0,6,39,0,0
0,6,40,0,0
0,7,0,-0.0625588,-0.48028
0,7,1,-0.0588189,-0.463922
0,7,2,-0.0564558,-0.507382
0,7,3,-0.0551611,-0.504618
0,7,4,-0.0526268,-0.471854
