time,prediction,prediction_tau,idle,transmit
0,2,36,-0.011023,-0.407136
0,2,37,-0.00958647,-0.393017
0,2,38,-0.00663472,-0.308039
0,2,39,-0.00801367,-0.415528
0,2,40,-0.00538126,-0.326385
0,2,41,-0.00506244,-0.37062
0,2,42,-0.00340428,-0.31317
0,2,43,-0.00381779,-0.386295
0,2,44,-0.00242175,-0.29294
0,2,45,-0.00146396,-0.194023
0,2,46,0.000113401,-0.197252
0,2,47,0.000151188,-0.256715
0,2,48,0.000361225,-0.335898
0,2,49,0.00056505,-0.156988
0,2,50,0.00207758,-0.238531
0,2,51,0.00243308,-0.295098
0,2,52,0.00155962,-0.0941633
0,2,53,0.00362848,-0.240153
0,2,54,0.00449767,-0.292236
0,2,55,0.00304854,-0.164041
0,2,56,0.00421333,-0.227616
0,2,57,0.00575224,-0.228508
0,2,58,0.00637375,-0.262564
0,2,59,0.00415095,-0.161442
0,2,60,0.0267198,-0.631872
0,3,0,-0.0701215,-0.677223
0,3,1,-0.0668235,-0.615652
0,3,2,-0.067298,-0.624043
0,3,3,-0.065279,-0.641431
0,3,4,-0.064044,-0.62003
0,3,5,-0.0618588,-0.587911
0,3,6,-0.0604512,-0.620139
0,3,7,-0.0594668,-0.609581
0,3,8,-0.0578504,-0.59641
0,3,9,-0.0564696,-0.581886
0,3,10,-0.0546939,-0.656758
0,3,11,-0.0536608,-0.667404
0,3,12,-0.0524766,-0.602067
0,3,13,-0.0503987,-0.636702
0,3,14,-0.0484289,-0.609974
0,3,15,-0.0479644,-0.662352
0,3,16,-0.0461973,-0.657898
0,3,17,-0.0435751,-0.640266
0,3,18,-0.0430234,-0.619922
0,3,19,-0.0415369,-0.636438
0,3,20,-0.0395854,-0.607111
0,3,21,-0.0382677,-0.64278
0,3,22,-0.0364868,-0.558839
0,3,23,-0.0345565,-0.627413
0,3,24,-0.0344029,-0.645214
0,3,25,-0.029755,-0.575996
0,3,26,-0.0286808,-0.574838
0,3,27,-0.0267642,-0.562448
0,3,28,-0.025479,-0.543374
0,3,29,-0.0215931,-0.554103
0,3,30,-0.0224006,-0.580669
0,3,31,-0.0193461,-0.506963
0,3,32,-0.0113672,-0.364849
0,3,33,-0.0161255,-0.475006
0,3,34,-0.0120248,-0.40542
0,3,35,-0.0117648,-0.466937
0,3,36,-0.00699978,-0.283384
0,3,37,-0.00631027,-0.295217
0,3,38,-0.00742113,-0.345315
0,3,39,-0.00534636,-0.347787
0,3,40,-0.003423,-0.228657
0,3,41,-0.00404925,-0.330499
0,3,42,-0.00399818,-0.297624
0,3,43,-0.00285683,-0.345039
0,3,44,-0.00239495,-0.273976
0,3,45,-0.000606156,-0.347816
0,3,46,-0.000205061,-0.198725
0,3,47,-0.000211633,-0.242813
0,3,48,0.000406733,-0.0628082
0,3,49,0.000224185,-0.120023
0,3,50,0.00170603,-0.219589
0,3,51,0.00205852,-0.275372
0,3,52,0.00196041,-0.207657
0,3,53,0.00138907,-0.119873
0,3,54,0.00180139,-0.124284
0,3,55,0.00384367,-0.198535
0,3,56,0.00211262,-0.0936668
0,3,57,0.00136056,-0.0389205
0,3,58,0.00128456,-0.0661415
0,3,59,0.00438928,-0.162371
0,3,60,0.0204443,-0.504561
0,4,0,-0.0699708,-0.632401
0,4,1,-0.0680008,-0.638399
0,4,2,-0.0670485,-0.664303
0,4,3,-0.0646396,-0.616374
0,4,4,-0.0641339,-0.611918
0,4,5,-0.0625167,-0.599432
0,4,6,-0.0603231,-0.616802
0,4,7,-0.0596803,-0.594383
0,4,8,-0.0579305,-0.6301
0,4,9,-0.0572056,-0.644354
0,4,10,-0.0543713,-0.623965
0,4,11,-0.0539217,-0.633781
0,4,12,-0.0514218,-0.642525
0,4,13,-0.0497873,-0.575608
0,4,14,-0.0486778,-0.533611
0,4,15,-0.0474754,-0.65505
0,4,16,-0.0464132,-0.651345
0,4,17,-0.0444644,-0.609471
0,4,18,-0.0435372,-0.621849
0,4,19,-0.0408737,-0.628074
0,4,20,-0.0401983,-0.577387
0,4,21,-0.0388819,-0.648485
0,4,22,-0.0369888,-0.621175
0,4,23,-0.0343406,-0.567898
0,4,24,-0.0322039,-0.533718
0,4,25,-0.0308377,-0.546341
0,4,26,-0.029484,-0.60961
0,4,27,-0.0273023,-0.566439
0,4,28,-0.0241914,-0.524986
0,4,29,-0.0234114,-0.528039
0,4,30,-0.0215798,-0.565624
0,4,31,-0.0181868,-0.494914
0,4,32,-0.0168555,-0.440518
0,4,33,-0.00917693,-0.291586
