time,prediction,prediction_tau,idle,transmit
0,5,5,-0.0398309,-0.431453
0,5,6,-0.0370606,-0.392009
0,5,7,-0.0341301,-0.460887
0,5,8,-0.0311785,-0.405925
0,5,9,-0.0284981,-0.410765
0,5,10,-0.0255384,-0.413906
0,5,11,-0.0228683,-0.43388
0,5,12,-0.0194689,-0.43301
0,5,13,-0.0169164,-0.418287
0,5,14,-0.0131033,-0.410626
0,5,15,-0.0107358,-0.406039
0,5,16,-0.00720282,-0.400608
0,5,17,-0.00465563,-0.417951
0,5,18,-0.00130966,-0.389178
0,5,19,0.00139978,-0.236535
0,5,20,0.00254029,-0.164751
0,5,21,0.000709093,-0.0186643
0,5,22,0.00131057,-0.0285754
0,5,23,0,0
0,5,24,0.00185189,-0.0270744
0,5,25,0,0
0,5,26,0,0
0,5,27,0.00264032,-0.0378274
0,5,28,0,0
0,5,29,0,0
0,5,30,0,0
0,6,0,-0.0552414,-0.373678
0,6,1,-0.052151,-0.380014
0,6,2,-0.049087,-0.402996
0,6,3,-0.0454372,-0.348316
0,6,4,-0.0431376,-0.39661
0,6,5,-0.0396529,-0.378421
0,6,6,-0.0369133,-0.371192
0,6,7,-0.033702,-0.367666
0,6,8,-0.0308448,-0.41444
0,6,9,-0.0284416,-0.327198
0,6,10,-0.0253778,-0.399597
0,6,11,-0.0222668,-0.36061
0,6,12,-0.0189703,-0.392213
0,6,13,-0.0163522,-0.393319
0,6,14,-0.0131278,-0.35752
0,6,15,-0.0106248,-0.383931
0,6,16,-0.00794549,-0.387483
0,6,17,-0.00477656,-0.37972
0,6,18,-0.00147338,-0.313907
0,6,19,0.00124912,-0.307916
0,6,20,0.00221301,-0.179633
0,6,21,0.00396797,-0.149251
0,6,22,0.00248489,-0.0522612
0,6,23,0,0
0,6,24,0.0033014,-0.0672237
0,6,25,0.00202864,-0.0394244
0,6,26,0.00456348,-0.0534872
0,6,27,0.00267464,-0.0213901
0,6,28,0,0
0,6,29,0,0
0,6,30,0,0
0,7,0,-0.053665,-0.310355
0,7,1,-0.0502743,-0.325042
0,7,2,-0.0473285,-0.320565
0,7,3,-0.0450059,-0.331182
0,7,4,-0.042403,-0.345594
0,7,5,-0.0385739,-0.346553
0,7,6,-0.0364858,-0.342039
0,7,7,-0.0332849,-0.353292
0,7,8,-0.0302663,-0.36937
0,7,9,-0.0275284,-0.340239
0,7,10,-0.0242254,-0.358862
0,7,11,-0.0218411,-0.365252
0,7,12,-0.0182086,-0.361399
0,7,13,-0.0155132,-0.334661
0,7,14,-0.012613,-0.384627
0,7,15,-0.00995495,-0.339843
0,7,16,-0.00694475,-0.34284
0,7,17,-0.00372909,-0.351368
0,7,18,0.000163323,-0.33967
0,7,19,0.00260309,-0.283077
